Name,type,images,ratings,about,Best Time,No of votes,state,map
1. Manali,hill station,https://www.holidify.com/images/bgImages/MANALI.jpg,4.5,"One of the most popular hill stations in Himachal, Manali offers the most magnificent views of the Pir Panjal and the Dhauladhar ranges covered with snow for most parts of the ye",October to June,466, Himachal Pradesh  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26997.532381773144!2d77.16961019388917!3d32.23947084279168!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39048708163fd03f%3A0x8129a80ebe5076cd!2sManali%2C%20Himachal%20Pradesh!5e0!3m2!1sen!2sin!4v1641216243466!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
2. Leh Ladakh,temple,https://www.holidify.com/images/bgImages/LADAKH.jpg,4.6,"Ladakh is a union territory in the Kashmir region of India. Formerly falling in the state of Jammu & Kashmir, Ladakh was administered a union territory on 31st October 2019. Extending from the Siachen Glacier to the main Great Himalayas, Ladakh is a land like no other. Dominated by dramatic land...",Jun to Sep,139, Union Territory  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d105639.10349000509!2d77.49669807793032!3d34.166241757612056!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38fdeb21445fed85%3A0xd1bb09975086f710!2sLeh!5e0!3m2!1sen!2sin!4v1641228422948!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
3. Coorg,"hill station , waterfall",https://www.holidify.com/images/bgImages/COORG.jpg,4.2,"Located amidst imposing mountains in Karnataka with a perpetually misty landscape, Coorg is a popular coffee producing hill station. It is popular for its beautiful green hills and the streams cutting right through them. It also stands as a popular destination because of its culture and people...",October to March,432, Karnataka  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d31170.19537243385!2d75.71736027118705!3d12.431427487550886!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3ba50075627a7fff%3A0xaf8a66ea4651c1a6!2sMadikeri%2C%20Karnataka%20571201!5e0!3m2!1sen!2sin!4v1641228520623!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
4. Andaman,"island , beach",https://www.holidify.com/images/bgImages/ANDAMAN-NICOBAR-ISLANDS.jpg,4.5,"Replete with turquoise blue water beaches and a bit of history, Andaman & Nicobar Islands is a little slice of paradise tucked around 1,400 km away from the east coast of mainland India. Port Blair, the capital of this union territory, has a major airport and seaport connected with the rest of t...",October to Jun,135, Union Territory  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4020905.2920951354!2d91.00582723125012!3d10.207809888117476!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3064a00f2b650ff3%3A0xce80055648fccb2c!2sAndaman%20and%20Nicobar%20Islands!5e0!3m2!1sen!2sin!4v1641228547485!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
5. Lakshadweep,"island , beach",https://www.holidify.com/images/bgImages/LAKSHADWEEP-ISLANDS.jpg,4,"Formerly known as Laccadive Islands, Lakshadweep translates to 'one hundred thousand islands' in Malayalam. Home to a few of the most beautiful and exotic islands and beaches of India, Lakshadweep lies 400km off the southwest coast of the Arabian Sea. The smallest union territory of India has&n..",September to May,34, Union Territory  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4019476.361155808!2d70.54012096308199!3d10.320273093314078!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3b9fcd65cae4973d%3A0x17bd7416842ce9aa!2sLakshadweep!5e0!3m2!1sen!2sin!4v1641228616421!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
6. Goa,beach,https://www.holidify.com/images/bgImages/GOA.jpg,4.5,"Lying on the western coast, Goa is India's smallest state and unlike any other, known for its endless beaches, stellar nightlife, eclectic seafood, world-heritage listed architecture. Spread across just 3,702 km, Goa lies in the Konkan region. It is a far cry from the hippie haven or ",October to March,601, India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d492485.53498731594!2d73.73211268567826!3d15.347038036972004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bbfba106336b741%3A0xeaf887ff62f34092!2sGoa!5e0!3m2!1sen!2sin!4v1641228582195!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
7. Udaipur,lake,https://www.holidify.com/images/bgImages/UDAIPUR.jpg,4.3,"Udaipur, also known as the City of Lakes, is a popular tourist destination state of Rajasthan. It is surrounded by the beautiful Aravalli Hills in all directions, this 'Venice of the East has mesmerising temples and breathtaking Mewar architecture in the backdrop of lakes which makes it a must-visit...",October to March,263, Rajasthan  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d116078.30777058745!2d73.63701809524045!3d24.608269992520036!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3967e56550a14411%3A0xdbd8c28455b868b0!2sUdaipur%2C%20Rajasthan!5e0!3m2!1sen!2sin!4v1641228648536!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
8. Srinagar,"waterfall , park",https://www.holidify.com/images/bgImages/SRINAGAR.jpg,4.5,"Famously known as 'Heaven on Earth, Srinagar is located in the union territory of Jammu & Kashmir, on the banks of river Jhelum. Srinagar is known for the stationary houseboats and gondola-type rowboats- Shikararas on Dal La",April to October,126, Jammu & Kashmir  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d211427.2692902134!2d74.66667033412618!3d34.106638991108696!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38e1855686e3c5ef%3A0x66244b7cc1e305c6!2sSrinagar!5e0!3m2!1sen!2sin!4v1641228681342!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
9. Gangtok,temple,https://www.holidify.com/images/bgImages/GANGTOK.jpg,4.4,"Incredibly alluring, pleasantly boisterous and wreathed in clouds - Gangtok, the capital of Sikkim, is one of the most popular hill stations in India. Lying at the height of 1650 m above sea level, the town during its bright sunny days offers spectacular views of Mt. Kanchenjunga. Gangtok is a base ...",Throughout the year,267, Sikkim  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d56706.21951108942!2d88.58545556655532!3d27.340131333881153!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39e6a56a5805eafb%3A0x73d6132c501c8f20!2sGangtok%2C%20Sikkim!5e0!3m2!1sen!2sin!4v1641228711366!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
10. Munnar,hill station,https://www.holidify.com/images/bgImages/MUNNAR.jpg,4.5,"Popular among honeymooners, Munnar is a hill station in the state of Kerala. Located in the Western Ghats at a height of 1600 metres, Munnar is famous for its tea estates, greenery, blankets of mist forming natural-view points.",September to May,506, Kerala  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d31425.7992658797!2d77.04666826979549!3d10.08064908892932!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3b0799794d099a6d%3A0x63250e5553c7e0c!2sMunnar%2C%20Kerala%20685612!5e0!3m2!1sen!2sin!4v1641228742860!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
11. Varkala,beach,https://www.holidify.com/images/bgImages/VARKALA.jpg,4.5,"Varkala is a coastal town in the southern part of Kerala known for the unique 15m high 'Northern Cliff' adjacent to the Arabian Sea. It is popular for its hippie culture, shacks on the cliff serving great seafood and playing global music and the samadhi of Kerala's saint Sree Narayana Guru.",Throughout the year,137, Kerala  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d63095.268540414574!2d76.68246299639908!3d8.743255142106547!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3b05ef26d90220fb%3A0xa3ec40c67d4dd020!2sVarkala%2C%20Kerala!5e0!3m2!1sen!2sin!4v1641228771766!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
12. Mcleodganj,hill station,https://www.holidify.com/images/bgImages/MCLEODGANJ.jpg,4.4,"Mcleodganj is a hill station near Dharamshala, popular among trekkers. Located in Kangra district, Mcleodganj's culture is a beautiful blend of Tibetan with some British influence.",October to June,298, Himachal Pradesh  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26995.88364156446!2d76.29807459389812!3d32.2450183426801!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x391b56d4e3d36d19%3A0xa3e8725f0584be76!2sMcLeod%20Ganj%2C%20Dharamshala%2C%20Himachal%20Pradesh!5e0!3m2!1sen!2sin!4v1641228815006!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
13. Rishikesh,temple,https://www.holidify.com/images/bgImages/RISHIKESH.jpg,4.3,"Located in the foothills of the Himalayas along the convergence of Ganga and Chandrabhaga River, Rishikesh is a small town in the Dehradun district, located close to Haridwar in Uttarakhand. Rishikesh (also called as Hrishikesh) is known for its adventure activities, ancient temples, popular ca..",Throughout the year,239, Uttarakhand  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110471.29121008763!2d78.20056852030824!3d30.087660180173067!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39093e67cf93f111%3A0xcc78804a6f941bfe!2sRishikesh%2C%20Uttarakhand!5e0!3m2!1sen!2sin!4v1641228840806!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
14. Alleppey,beach,https://www.holidify.com/images/bgImages/ALLEPPEY.jpg,4.5,"Officially called Alappuzha, Alleppey is the picture-perfect place known for its beautiful backwaters and the houseboats offering overnight stays. The coastline of Alleppey offers some of the best beaches in Kerala with water sports during the dry season.",June to March,248, Kerala  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d125922.83285133747!2d76.27206532516199!3d9.501029730457157!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3b0884f1aa296b61%3A0xb84764552c41f85a!2sAlappuzha%2C%20Kerala!5e0!3m2!1sen!2sin!4v1641228870373!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
15. Darjeeling,hill station,https://www.holidify.com/images/bgImages/DARJEELING.jpg,4.3,"The previous summer capital of India under the British Raj, Darjeeling has come off age as one of the most sought after hill stations in India. Located in West Bengal, this scenic hill station is the perfect getaway for a romantic honeymoon. Nestled amidst acres of tea plantations, Darjeeling stands...","February to March, September to December",280, West Bengal  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d56862.4684168643!2d88.22965551484117!3d27.033190567276762!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39e42e654cf501bb%3A0x4175555979d4702a!2sDarjeeling%2C%20West%20Bengal!5e0!3m2!1sen!2sin!4v1641228918400!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
16. Nainital,lake,https://www.holidify.com/images/bgImages/NAINITAL.jpg,4.3,"Nainital is a charming hill station located at the foothills of the Kumaon ranges in Uttarakhand. Located close to Dehradun and Delhi, it is the most visited hill station in North India. Nainital is a perfect weekend getaway from Delhi and the nearby place",Throughout the year,235, Uttarakhand  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27812.677027107147!2d79.43776113945643!3d29.382449056173346!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39a0a1bc28fd9d61%3A0x7cae7ba916987db3!2sNainital%2C%20Uttarakhand!5e0!3m2!1sen!2sin!4v1641228951330!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
17. Shimla,hill station,https://www.holidify.com/images/bgImages/SHIMLA.jpg,4.2,"Shimla is the capital of Himachal Pradesh and a popular hill-station among Indian families and honeymooners. Situated at the height of 2200m, Shimla was the summer capital of British India. Shimla still retains its old-world charm with beautiful colonial architecture, pedestrian-friendly Mall R..",October to June,382, Himachal Pradesh  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d109348.2867834206!2d77.08898104533313!3d31.078200473270844!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390578e3e35d6e67%3A0x1f7e7ff6ff9f54b7!2sShimla%2C%20Himachal%20Pradesh!5e0!3m2!1sen!2sin!4v1641228980622!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
18. Ooty,hill station,https://www.holidify.com/images/bgImages/OOTY.jpg,4.2,"Nestled amidst Nilgiri hills, Ooty, also known as Udagamandalam, is a hill station in Tamil Nadu which serves as a top-rated tourist destination. Once regarded as the summer headquarters of the East India Company, the Queen of the hills is a picturesque getaway.",Throughout the year,517, Tamil Nadu  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d62575.051161588744!2d76.65840200211633!3d11.411850524340798!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3ba8bd84b5f3d78d%3A0x179bdb14c93e3f42!2sOoty%2C%20Tamil%20Nadu!5e0!3m2!1sen!2sin!4v1641229018010!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
19. Jaipur,"historical , fort",https://www.holidify.com/images/bgImages/JAIPUR.jpg,4.4,"Also called the Pink City, Jaipur is the capital of the royal state of Rajasthan. Along with Delhi and Agra, Jaipur forms the Golden Triangle and hails as one of the most famous tourist circuits in the country.",October to March,287, Rajasthan  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d227748.99973450298!2d75.65047228361074!3d26.88514167956319!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x396c4adf4c57e281%3A0xce1c63a0cf22e09!2sJaipur%2C%20Rajasthan!5e0!3m2!1sen!2sin!4v1641229041534!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
20. Lonavala,hill station,https://www.holidify.com/images/bgImages/LONAVALA.jpg,4.1,"Situated in the Sahyadri range of the Western Ghats close to Pune and Mumbai, Lonavala is the most visited hill station in Maharashtra and the place to be during monsoons. With lots of waterfalls, lakes and hills around, it is a popular destination for camping, trekking and othe",Throughout the year,216, Maharashtra  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d120893.26608826064!2d73.34168238767816!3d18.757352815091803!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be801098bdf8145%3A0x696b4a60a5e28658!2sLonavla%2C%20Maharashtra!5e0!3m2!1sen!2sin!4v1641229068216!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
21. Mussoorie,hill station,https://www.holidify.com/images/bgImages/MUSSOORIE.jpg,4.1,"Mussoorie is one of the most popular hill stations located at a distance of 290 km from Delhi in the Dehradun district of Uttarakhand. With a backdrop of the Shivalik range of Himalayas and doon valley, Mussoorie, also known as Queen of The Hills, stands at an altitude of 7000 feet above sea level. ...",September to June,195, Uttarakhand  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55029.489610744255!2d78.0414205849452!3d30.45471862398687!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3908d0cfa61cda5b%3A0x197fd47d980e85b1!2sMussoorie%2C%20Uttarakhand!5e0!3m2!1sen!2sin!4v1641229105878!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
22. Kodaikanal,hill station,https://www.holidify.com/images/bgImages/KODAIKANAL.jpg,4.4,"Located in the state of Tamil Nadu, Kodaikanal is one of the most famous honeymoon destinations in India. A Lakeside resort town of Tamil Nadu, Kodaikanal has a beautiful climate, mist-covered manicured cliffs and waterfall that come together to create the ideal setting for a perfect getaway. Kodaik...",September to May,295, Tamil Nadu  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d62821.23983257677!2d77.46185239941079!3d10.235149278617813!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3b0766637f0a0387%3A0x9ffae9373758c13c!2sKodaikanal%2C%20Tamil%20Nadu!5e0!3m2!1sen!2sin!4v1641229133280!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
23. Dalhousie,mountains,https://www.holidify.com/images/bgImages/DALHOUSIE.jpg,4.2,"Dalhousie, a popular hill station in Himachal Pradesh is situated at a height of 1,970 metres above sea level. Boasting views of the snow-capped peaks of Dhauladhar ranges, Dalhousie is famous for its meadows, dense jungles and waterfalls. Established in 1854, it was named after",Throughout the year,128, Himachal Pradesh  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d53815.52763199856!2d75.93857754825392!3d32.54028674714488!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x391c9138637f1ae1%3A0xbac8f1954c198c20!2sDalhousie%2C%20Himachal%20Pradesh!5e0!3m2!1sen!2sin!4v1641229164213!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
24. Pachmarhi,"hill station , waterfall",https://www.holidify.com/images/bgImages/PACHMARHI.jpg,4.4,"Pachmarhi is the only hill station and is the highest point in Madhya Pradesh. Pachmarhi is also often known as""Satpura ki Rani"" or the ""Queen of the Satpura Range"". Situated at an altitude of 1,067 metres, the picturesque town is a part of UNESCO Biosphere Reserve, home to leopards .",Throughout the year,95, Madhya Pradesh  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d29496.007545943685!2d78.41096863029912!3d22.466598855180443!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x397e3a348b5f3e9d%3A0xf4322966c8376db6!2sPachmarhi%2C%20Madhya%20Pradesh%20461881!5e0!3m2!1sen!2sin!4v1641229204203!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
25. Varanasi,temple,https://www.holidify.com/images/bgImages/VARANASI.jpg,4.4,"World's oldest living city, Varanasi - also known as Kashi (City of Life) and Benaras, is the spiritual capital of India. It is one of Hinduism's seven holy cities. The old city of Varanasi lies along the western banks of the Ganges, spread across a labyrinth of narrow galis. Be",October to March,165, Uttar Pradesh  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d115408.23982810129!2d82.92106861019738!3d25.320746099847305!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x398e2db76febcf4d%3A0x68131710853ff0b5!2sVaranasi%2C%20Uttar%20Pradesh!5e0!3m2!1sen!2sin!4v1641229238655!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
26. Mumbai,"beach , temple",https://www.holidify.com/images/bgImages/MUMBAI.jpg,4.2,"Mumbai, the capital city of the Indian state of Maharashtra, is a spectacular paradox of chaos and hope, glamour and squalor, modernity and tradition. Famously known as the City of Dreams, Mumbai – formerly known as Bombay - Mumbai is a beautifully blended melting pot of cultures and lifestyle",October to February,302, Maharashtra  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d241317.11609823277!2d72.74109995709657!3d19.08219783958221!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be7c6306644edc1%3A0x5da4ed8f8d648c69!2sMumbai%2C%20Maharashtra!5e0!3m2!1sen!2sin!4v1641229292970!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
27. Agra,"mausoleum , historial , palace",https://www.holidify.com/images/bgImages/AGRA.jpg,4.2,"Located on the banks of River Yamuna in Uttar Pradesh, Agra is a popular tourist destination as it is home to one of the 7 wonders of the world, the Taj Mahal. It is a sneak peek into the architectural history and legacy of the Mughal empire with two other UNESCO World Heritage ",October to March,352, Uttar Pradesh  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d227159.68113915448!2d77.83992741076895!3d27.176104919171127!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39740d857c2f41d9%3A0x784aef38a9523b42!2sAgra%2C%20Uttar%20Pradesh!5e0!3m2!1sen!2sin!4v1641229324752!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
28. Kolkata,"zoo , palace , museum",https://www.holidify.com/images/bgImages/KOLKATA.jpg,4.3,"Kolkata, India's second biggest city, is a perpetually ongoing festival of human existence, concurrently luxurious and squalid, refined and frantic, pointedly futuristic, while beautifully in decay. A vibrant 350-year-old metropolis located on India's Eastern Coast, the capital of West Bengal thrive...",October to March,183, West Bengal  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d471220.5630409112!2d88.04953608529773!3d22.675752093263746!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39f882db4908f667%3A0x43e330e68f6c2cbc!2sKolkata%2C%20West%20Bengal!5e0!3m2!1sen!2sin!4v1641229359955!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
29. Jodhpur,historical ,https://www.holidify.com/images/bgImages/JODHPUR.jpg,4.1,"The former capital of Marwar, Jodhpur, is one of the most enchanting cities of Rajasthan, with its mighty Mehrangarh fort overlooking the city. The city is called the Blue City as it looks completely blue from an aerial view because of its blue walls and blue house",November to February,86, Rajasthan  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d228974.98338660685!2d72.89045762709804!3d26.27029143147332!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39418c4eaa06ccb9%3A0x8114ea5b0ae1abb8!2sJodhpur%2C%20Rajasthan!5e0!3m2!1sen!2sin!4v1641229394176!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
30. Bangalore,"historical , palace",https://www.holidify.com/images/bgImages/BANGALORE.jpg,4.1,"Having evolved gradually from being the Garden city to the Silicon Valley of India, Bangalore is India's third-largest city. Bangalore is loved for its pleasant weather, beautiful parks and the many lakes here. Bangalore is renowned for its eateries, street food corners, quirky cafes, coffee ro..",Throughout the year,286, Karnataka  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d497699.9973874144!2d77.35074421903857!3d12.95384772557775!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae1670c9b44e6d%3A0xf8dfc3e8517e4fe0!2sBengaluru%2C%20Karnataka!5e0!3m2!1sen!2sin!4v1641229425749!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
31. Amritsar,"historical , temple",https://www.holidify.com/images/bgImages/AMRITSAR.jpg,4.4,"Home of the glorious Golden Temple, the iconic city of Amritsar, portrays the heroic character of Punjab.  The second-largest city of the Indian state of Punjab, Amritsar is colloquially known as Ambarsar. Apart from the Golden Temple, Amritsar is known for its lip-smacking street foo",October to March,212, Punjab  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d217408.89455436615!2d74.73003520947466!3d31.63346767705272!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x391964aa569e7355%3A0xeea2605bee84ef7d!2sAmritsar%2C%20Punjab!5e0!3m2!1sen!2sin!4v1641229449706!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
