Name,type,image,No of ratings,average rating,about,address
1. Qutub Minar,Points of Interest & Landmarks • Architectural Buildings,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/b7/1f/31/qutab-minar.jpg?w=500&h=400&s=1,"13,185",4.5,"Construction on this sandstone minaret was begun in 1192. Surrounded by other historical sites, it is the most popular monument in India. Miniature Souvenir is available at Luv Indiya, 12 B Janpath Market, Connaught Place, New Delhi","Qutb Minar, Mehrauli, New Delhi 110030 India"
2. Marine Drive,Points of Interest & Landmarks • Scenic Drives,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/40/ce/df/marine-drive-seen-as.jpg?w=500&h=400&s=1,"8,181",4.5,"Bordering the Arabian Sea, this famous road is a popular spot for watching sunsets, and is gorgeous when lit up at night.","Mumbai,Maharashtra 400002 India"
3. ISKCON Temple Bangalore,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/78/a5/4b/iskcon-sri-radha-krishna.jpg?w=500&h=-1&s=1,"4,811",4.5,"ISKCON Sri Radha Krishna temple was inaugurated in the year 1997. It is not just a temple, but a cultural complex housing the temples dedicated to the Deities of Sri Sri Radha Krishnachandra, Sri Sri Krishna Balarama, Sri Sri Nitai Gauranga, Sri Srinivasa Govinda, Sri Prahlada Narasimha, Bhakta Hanuman, Garudadeva and Srila Prabhupada, Founder Acharya of ISKCON. ISKCON Bangalore is a charitable society with the objective of propagating Krishna Consciousness all over the world, as explained by Srila Prabhupada, whose teachings are based on Bhagavad-gita and Srimad Bhagavatam.","Chord Road Hare Krishna Hill, Bengaluru 560010 India"
4. VGP Snow Kingdom,Amusement & Theme Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a9/97/77/dance-in-the-sparkling.jpg?w=500&h=400&s=1,643,5,"Indoor attraction featuring manmade snow, sledding, a mountain for climbing & upbeat music.","East Coast Road Injambakkam, Chennai (Madras) 600115 India"
5. Ramoji Film City,Amusement & Theme Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/15/ef/fe/ramoji-film-city.jpg?w=500&h=-1&s=1,"4,174",4.5,"Visitors can learn all about the local film industry here, which is one of the largest in India.","Ramoji FIlm City Hayatnagar Mandal, Ranga Reddy District, Hyderabad 501512 India"
6. Victoria Memorial Hall,Speciality Museums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/57/a7/7b/victoria-memorial-hall.jpg?w=500&h=400&s=1,"4,607",4.5,"The Victoria Memorial is a large marble building in Central Kolkata, which was built between 1906 and 1921. It is dedicated to the memory of Empress Victoria, and is now a museum under the auspices of the Ministry of Culture.","Victoria Memorial Hall, 1, Queens Way, Maidan, Kolkata, West Bengal 700071"
7. Jantar Mantar - Jaipur,Observatories & Planetariums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/10/b5/57/jantar-mantar-jaipur.jpg?w=500&h=-1&s=1,"7,523",4.5,"The Jantar Mantar, Jaipur is a collection of 19 astronomical instruments built by the Rajput king Sawai Jai Singh II, the founder of Jaipur, Rajasthan.It features the world's largest stone sundial, and is a UNESCO World Heritage site.","Tripoliya Bazaar near entrance to City Palace, Jaipur 302020 India"
8. DLF Cyber Hub,Points of Interest & Landmarks • Shopping Malls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/b8/e2/a4/photo5jpg.jpg?w=500&h=400&s=1,"2,925",4.5,"CyberHub is a unique, one-of-its-kind concept in India – A premium Food , entertainment and Retail destination however it is the ambiance that makes CyberHub an unparalleled experience and an ideal destination for Stepping out, art and cultural shows , media launches, lifestyle & movie shoots. The Center of Attraction and Attention CyberHub is strategically located on the main artery that connects Gurugram to Delhi, the National Highway 8. It is surrounded by areas teeming with the young and the affluent, searching for new experiences. This new Social Networking Site with a wide variety of activities planned here, CyberHub would be the destination of choice for one and for all. Uniquely designed Spaces, World-class design and structural ambiance with roof top terrace, amphitheater, exhibit area and media room allow for stimulating entertainment options.","Basement Street Number 1 BMS Office DLF Phase 2, Gurugram (Gurgaon) 122002 India"
9. LuLu Mall,Shopping Malls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/c6/77/bd/lulu.jpg?w=500&h=400&s=1,"1,880",4.5," Lulu International Shopping Mall, Kochi, a shopping mall located in Kochi, Kerala.Lulu International Shopping Mall,Spanning 17 acres, it is one of the largest malls in India with a total built up area of 171,870.624 m² .","34/1000 N.h 47, Kochi (Cochin) 682024 India"
10. Hawa Mahal - Palace of Wind,Points of Interest & Landmarks • Architectural Buildings,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/0d/e3/4b/img-20180921-184349-largejpg.jpg?w=500&h=-1&s=1,"8,991",4,"Made of red and pink sandstone, Jaipur's signature palace of unusual architecture is a stunning example of local artistry. The top of the Hawa Mahal offers an excellent view over the city.","Hawa Mahal Tripolia Bazaar Road Badi Choupad, J.D.A. Market, Pink City, Jaipur 302002 India"
11. Adiyogi Shiva,Religious Sites • Monuments & Statues,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/35/ae/69/the-adiyogi-statue-is.jpg?w=500&h=-1&s=1,504,4.5,"Adiyogi is a 112 foot statue inaugrated by Prime Minister Narendra Modi and Sadhguru. It is based in the foothills of Velliagiri mountains and is a part of Isha Yoga Center. In front of the statue in a mandapam, sadhguru has also consecrated a yogeshwara linga.","Isha Yoga centre Velliangiri Foothills, Ishana Vihar Post, Coimbatore 641114 India"
12. Kankaria Lake,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/eb/b8/4d/lake-view.jpg?w=500&h=400&s=1,"2,024",4.5,"Kankaria lake can be found in the south-eastern section of Ahmedabad near the Maninagar area, in Gujrat. It is said to be the second largest lake in the city. Multiple tourist spots like the zoo, kids city, toy-train, hot-air balloon ride, water-based rides and other such entertainment attractions are in abundance in the lakefront that has been developed around Kankaria lake.","Maninagar Area, Ahmedabad 380021 India"
13. Sabarmati Ashram / Mahatma Gandhi's Home,Historic Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/13/29/e2/img-20181017-121036-largejpg.jpg?w=500&h=-1&s=1,"2,951",4.5,"Gandhi in Ahmedabad Gallery, tracking Gandhi's life in Ahmedabad from 1915–1930.""My life is my message"" gallery, consisting of 8 life-size paintings and more than 250 photo-enlargements of some of the most vivid and historic events of Gandhi's life","Gandhi Smarak Sangrahalaya, Ahmedabad 380027 India"
